iter	Passed	Remaining
0	1	105
1	2	102
2	2	94
3	3	86
4	4	85
5	5	84
6	6	83
7	7	85
8	8	85
9	9	86
10	10	85
11	11	85
12	12	85
13	13	83
14	14	82
15	15	81
16	16	81
17	17	80
18	18	79
19	19	78
20	20	77
21	21	77
22	22	76
23	23	75
24	24	74
25	26	74
26	27	73
27	28	72
28	29	71
29	30	71
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	55	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	72	30
70	73	29
71	73	28
72	74	27
73	75	26
74	76	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	98	5
95	99	4
96	100	3
97	101	2
98	101	1
99	102	0
